#datetime;TLU#1:examples.TLU.S.state;TLU#1:examples.TLU.T.changeTime;TLU#2:examples.TLU.S.state;TLU#2:examples.TLU.T.changeTime;TLU#3:examples.TLU.S.state;TLU#3:examples.TLU.T.changeTime;TLU#4:examples.TLU.S.state;TLU#4:examples.TLU.T.changeTime;TLU#5:examples.TLU.S.state;TLU#5:examples.TLU.T.changeTime;TLU#6:examples.TLU.S.state;TLU#6:examples.TLU.T.changeTime
20130531T122600;true;12600;false;12600;false;12600;false;12600;true;12600;true;12600
20130531T122700;true;12600;false;12600;false;12600;false;12600;true;12600;true;12600
20130531T122800;true;12600;false;12600;false;12600;false;12600;true;12600;true;12600
20130531T122900;true;12600;false;12600;false;12600;false;12600;true;12600;true;12600
20130531T123000;false;12900;true;12900;true;12900;true;12900;false;12900;false;12900
20130531T123100;false;12900;true;12900;true;12900;true;12900;false;12900;false;12900
20130531T123200;false;12900;true;12900;true;12900;true;12900;false;12900;false;12900
20130531T123300;false;12900;true;12900;true;12900;true;12900;false;12900;false;12900
20130531T123400;false;12900;true;12900;true;12900;true;12900;false;12900;false;12900
20130531T123500;true;13200;false;13200;false;13200;false;13200;true;13200;true;13200
20130531T123600;true;13200;false;13200;false;13200;false;13200;true;13200;true;13200
20130531T123700;true;13200;false;13200;false;13200;false;13200;true;13200;true;13200
20130531T123800;true;13200;false;13200;false;13200;false;13200;true;13200;true;13200
20130531T123900;true;13200;false;13200;false;13200;false;13200;true;13200;true;13200
20130531T124000;false;13500;true;13500;true;13500;true;13500;false;13500;false;13500
20130531T124100;false;13500;true;13500;true;13500;true;13500;false;13500;false;13500
20130531T124200;false;13500;true;13500;true;13500;true;13500;false;13500;false;13500
20130531T124300;false;13500;true;13500;true;13500;true;13500;false;13500;false;13500
20130531T124400;false;13500;true;13500;true;13500;true;13500;false;13500;false;13500
20130531T124500;true;13800;false;13800;false;13800;false;13800;true;13800;true;13800
20130531T124600;true;13800;false;13800;false;13800;false;13800;true;13800;true;13800
20130531T124700;true;13800;false;13800;false;13800;false;13800;true;13800;true;13800
20130531T124800;true;13800;false;13800;false;13800;false;13800;true;13800;true;13800
20130531T124900;true;13800;false;13800;false;13800;false;13800;true;13800;true;13800
20130531T125000;false;14100;true;14100;true;14100;true;14100;false;14100;false;14100
20130531T125100;false;14100;true;14100;true;14100;true;14100;false;14100;false;14100
20130531T125200;false;14100;true;14100;true;14100;true;14100;false;14100;false;14100
20130531T125300;false;14100;true;14100;true;14100;true;14100;false;14100;false;14100
20130531T125400;false;14100;true;14100;true;14100;true;14100;false;14100;false;14100
20130531T125500;true;14400;false;14400;false;14400;false;14400;true;14400;true;14400
20130531T125600;true;14400;false;14400;false;14400;false;14400;true;14400;true;14400
20130531T125700;true;14400;false;14400;false;14400;false;14400;true;14400;true;14400
20130531T125800;true;14400;false;14400;false;14400;false;14400;true;14400;true;14400
20130531T125900;true;14400;false;14400;false;14400;false;14400;true;14400;true;14400
20130531T130000;false;14700;true;14700;true;14700;true;14700;false;14700;false;14700
20130531T130100;false;14700;true;14700;true;14700;true;14700;false;14700;false;14700
20130531T130200;false;14700;true;14700;true;14700;true;14700;false;14700;false;14700
20130531T130300;false;14700;true;14700;true;14700;true;14700;false;14700;false;14700
20130531T130400;false;14700;true;14700;true;14700;true;14700;false;14700;false;14700
20130531T130500;true;15000;false;15000;false;15000;false;15000;true;15000;true;15000
20130531T130600;true;15000;false;15000;false;15000;false;15000;true;15000;true;15000
20130531T130700;true;15000;false;15000;false;15000;false;15000;true;15000;true;15000
20130531T130800;true;15000;false;15000;false;15000;false;15000;true;15000;true;15000
20130531T130900;true;15000;false;15000;false;15000;false;15000;true;15000;true;15000
20130531T131000;false;15300;true;15300;true;15300;true;15300;false;15300;false;15300
20130531T131100;false;15300;true;15300;true;15300;true;15300;false;15300;false;15300
20130531T131200;false;15300;true;15300;true;15300;true;15300;false;15300;false;15300
20130531T131300;false;15300;true;15300;true;15300;true;15300;false;15300;false;15300
20130531T131400;false;15300;true;15300;true;15300;true;15300;false;15300;false;15300
20130531T131500;true;15600;false;15600;false;15600;false;15600;true;15600;true;15600
20130531T131600;true;15600;false;15600;false;15600;false;15600;true;15600;true;15600
20130531T131700;true;15600;false;15600;false;15600;false;15600;true;15600;true;15600
20130531T131800;true;15600;false;15600;false;15600;false;15600;true;15600;true;15600
20130531T131900;true;15600;false;15600;false;15600;false;15600;true;15600;true;15600
20130531T132000;false;15900;true;15900;true;15900;true;15900;false;15900;false;15900
20130531T132100;false;15900;true;15900;true;15900;true;15900;false;15900;false;15900
20130531T132200;false;15900;true;15900;true;15900;true;15900;false;15900;false;15900
20130531T132300;false;15900;true;15900;true;15900;true;15900;false;15900;false;15900
20130531T132400;false;15900;true;15900;true;15900;true;15900;false;15900;false;15900
20130531T132500;true;16200;false;16200;false;16200;false;16200;true;16200;true;16200
20130531T132600;true;16200;false;16200;false;16200;false;16200;true;16200;true;16200
20130531T132700;true;16200;false;16200;false;16200;false;16200;true;16200;true;16200
20130531T132800;true;16200;false;16200;false;16200;false;16200;true;16200;true;16200
20130531T132900;true;16200;false;16200;false;16200;false;16200;true;16200;true;16200
20130531T133000;false;16500;true;16500;true;16500;true;16500;false;16500;false;16500
20130531T133100;false;16500;true;16500;true;16500;true;16500;false;16500;false;16500
20130531T133200;false;16500;true;16500;true;16500;true;16500;false;16500;false;16500
20130531T133300;false;16500;true;16500;true;16500;true;16500;false;16500;false;16500
20130531T133400;false;16500;true;16500;true;16500;true;16500;false;16500;false;16500
20130531T133500;true;16800;false;16800;false;16800;false;16800;true;16800;true;16800
20130531T133600;true;16800;false;16800;false;16800;false;16800;true;16800;true;16800
20130531T133700;true;16800;false;16800;false;16800;false;16800;true;16800;true;16800
20130531T133800;true;16800;false;16800;false;16800;false;16800;true;16800;true;16800
20130531T133900;true;16800;false;16800;false;16800;false;16800;true;16800;true;16800
20130531T134000;false;17100;true;17100;true;17100;true;17100;false;17100;false;17100
20130531T134100;false;17100;true;17100;true;17100;true;17100;false;17100;false;17100
20130531T134200;false;17100;true;17100;true;17100;true;17100;false;17100;false;17100
20130531T134300;false;17100;true;17100;true;17100;true;17100;false;17100;false;17100
20130531T134400;false;17100;true;17100;true;17100;true;17100;false;17100;false;17100
20130531T134500;true;17400;false;17400;false;17400;false;17400;true;17400;true;17400
20130531T134600;true;17400;false;17400;false;17400;false;17400;true;17400;true;17400
20130531T134700;true;17400;false;17400;false;17400;false;17400;true;17400;true;17400
20130531T134800;true;17400;false;17400;false;17400;false;17400;true;17400;true;17400
20130531T134900;true;17400;false;17400;false;17400;false;17400;true;17400;true;17400
20130531T135000;false;17700;true;17700;true;17700;true;17700;false;17700;false;17700
20130531T135100;false;17700;true;17700;true;17700;true;17700;false;17700;false;17700
20130531T135200;false;17700;true;17700;true;17700;true;17700;false;17700;false;17700
20130531T135300;false;17700;true;17700;true;17700;true;17700;false;17700;false;17700
20130531T135400;false;17700;true;17700;true;17700;true;17700;false;17700;false;17700
20130531T135500;true;18000;false;18000;false;18000;false;18000;true;18000;true;18000
20130531T135600;true;18000;false;18000;false;18000;false;18000;true;18000;true;18000
20130531T135700;true;18000;false;18000;false;18000;false;18000;true;18000;true;18000
20130531T135800;true;18000;false;18000;false;18000;false;18000;true;18000;true;18000
20130531T135900;true;18000;false;18000;false;18000;false;18000;true;18000;true;18000
20130531T140000;false;18300;true;18300;true;18300;true;18300;false;18300;false;18300
20130531T140100;false;18300;true;18300;true;18300;true;18300;false;18300;false;18300
20130531T140200;false;18300;true;18300;true;18300;true;18300;false;18300;false;18300
20130531T140300;false;18300;true;18300;true;18300;true;18300;false;18300;false;18300
20130531T140400;false;18300;true;18300;true;18300;true;18300;false;18300;false;18300
20130531T140500;true;18600;false;18600;false;18600;false;18600;true;18600;true;18600
20130531T140600;true;18600;false;18600;false;18600;false;18600;true;18600;true;18600
20130531T140700;true;18600;false;18600;false;18600;false;18600;true;18600;true;18600
20130531T140800;true;18600;false;18600;false;18600;false;18600;true;18600;true;18600
20130531T140900;true;18600;false;18600;false;18600;false;18600;true;18600;true;18600
20130531T141000;false;18900;true;18900;true;18900;true;18900;false;18900;false;18900
20130531T141100;false;18900;true;18900;true;18900;true;18900;false;18900;false;18900
20130531T141200;false;18900;true;18900;true;18900;true;18900;false;18900;false;18900
20130531T141300;false;18900;true;18900;true;18900;true;18900;false;18900;false;18900
20130531T141400;false;18900;true;18900;true;18900;true;18900;false;18900;false;18900
20130531T141500;true;19200;false;19200;false;19200;false;19200;true;19200;true;19200
20130531T141600;true;19200;false;19200;false;19200;false;19200;true;19200;true;19200
20130531T141700;true;19200;false;19200;false;19200;false;19200;true;19200;true;19200
20130531T141800;true;19200;false;19200;false;19200;false;19200;true;19200;true;19200
20130531T141900;true;19200;false;19200;false;19200;false;19200;true;19200;true;19200
20130531T142000;false;19500;true;19500;true;19500;true;19500;false;19500;false;19500
20130531T142100;false;19500;true;19500;true;19500;true;19500;false;19500;false;19500
20130531T142200;false;19500;true;19500;true;19500;true;19500;false;19500;false;19500
20130531T142300;false;19500;true;19500;true;19500;true;19500;false;19500;false;19500
20130531T142400;false;19500;true;19500;true;19500;true;19500;false;19500;false;19500
20130531T142500;true;19800;false;19800;false;19800;false;19800;true;19800;true;19800
20130531T142600;true;19800;false;19800;false;19800;false;19800;true;19800;true;19800
20130531T142700;true;19800;false;19800;false;19800;false;19800;true;19800;true;19800
