#datetime	water.surf.Q.downstream-rs
1997-06-05T06:24:00	0.00023441685
1997-06-05T06:25:00	0.00026215374
1997-06-05T06:26:00	0.00029126662
1997-06-05T06:27:00	0.00032165911
1997-06-05T06:28:00	0.00035323476
1997-06-05T06:29:00	0.00038593053
1997-06-05T06:30:00	0.00041984615
1997-06-05T06:31:00	0.00045551627
1997-06-05T06:32:00	0.00049422542
1997-06-05T06:33:00	0.00053819973
1997-06-05T06:34:00	0.00059059111
1997-06-05T06:35:00	0.00065528782
1997-06-05T06:36:00	0.00073662197
1997-06-05T06:37:00	0.00083904684
1997-06-05T06:38:00	0.0009668548
1997-06-05T06:39:00	0.0011240514
1997-06-05T06:40:00	0.0013144565
1997-06-05T06:41:00	0.0015419333
1997-06-05T06:42:00	0.0018105494
1997-06-05T06:43:00	0.0021245603
1997-06-05T06:44:00	0.0024882224
1997-06-05T06:45:00	0.002905529
1997-06-05T06:46:00	0.0033799005
1997-06-05T06:47:00	0.0039139255
1997-06-05T06:48:00	0.0045091449
1997-06-05T06:49:00	0.005165901
1997-06-05T06:50:00	0.0058832718
1997-06-05T06:51:00	0.006659064
1997-06-05T06:52:00	0.0074898861
1997-06-05T06:53:00	0.0083712842
1997-06-05T06:54:00	0.009297912
1997-06-05T06:55:00	0.010263748
1997-06-05T06:56:00	0.011262288
1997-06-05T06:57:00	0.012286839
1997-06-05T06:58:00	0.013330667
1997-06-05T06:59:00	0.014387251
1997-06-05T07:00:00	0.015450461
1997-06-05T07:01:00	0.016514698
1997-06-05T07:02:00	0.017575026
1997-06-05T07:03:00	0.01862723
1997-06-05T07:04:00	0.019667948
1997-06-05T07:05:00	0.020694761
1997-06-05T07:06:00	0.021706596
1997-06-05T07:07:00	0.022704249
1997-06-05T07:08:00	0.023691248
1997-06-05T07:09:00	0.024674596
1997-06-05T07:10:00	0.025665319
1997-06-05T07:11:00	0.026678517
1997-06-05T07:12:00	0.027733004
1997-06-05T07:13:00	0.028850192
1997-06-05T07:14:00	0.030052761
1997-06-05T07:15:00	0.031363159
1997-06-05T07:16:00	0.032802068
1997-06-05T07:17:00	0.034387097
1997-06-05T07:18:00	0.036131646
1997-06-05T07:19:00	0.038044397
1997-06-05T07:20:00	0.040128805
1997-06-05T07:21:00	0.042383172
1997-06-05T07:22:00	0.044801068
1997-06-05T07:23:00	0.04737192
1997-06-05T07:24:00	0.050081797
1997-06-05T07:25:00	0.052914333
1997-06-05T07:26:00	0.055851653
1997-06-05T07:27:00	0.058875475
1997-06-05T07:28:00	0.06196766
